t_global,episode,t,action,belief_toxic,inventory,regime,reward
0,0,0,1,0.2,0,0,-0.0
1,0,1,1,0.5385,0,0,-0.0
2,0,2,1,0.2268,0,1,-0.0
3,0,3,0,0.0906,0,0,2.0
4,0,4,2,0.0451,1,0,-0.35
5,0,5,0,0.0313,0,0,2.0
6,0,6,0,0.0272,1,1,-4.05
7,0,7,2,0.026,2,1,-1.6
8,0,8,0,0.0257,1,1,-4.05
9,0,9,2,0.2578,2,1,-1.6
10,0,10,1,0.6001,1,1,-0.05
11,0,11,1,0.8236,1,1,-0.05
12,0,12,1,0.9036,1,1,-0.05
13,0,13,1,0.4854,1,1,-0.05
14,0,14,2,0.1996,1,0,-0.35
15,0,15,0,0.0809,0,0,2.0
16,0,16,1,0.3675,1,0,-0.05
17,0,17,2,0.1456,1,0,-0.35
18,0,18,0,0.0626,0,0,2.0
19,0,19,2,0.0365,1,0,-0.35
20,1,0,1,0.2,0,0,-0.0
21,1,1,0,0.0811,0,0,2.0
22,1,2,2,0.0421,1,0,-0.35
23,1,3,0,0.0304,0,0,2.0
24,1,4,0,0.027,1,0,1.95
25,1,5,2,0.026,2,0,-0.4
26,1,6,2,0.2584,1,0,-0.35
27,1,7,0,0.1022,0,0,2.0
28,1,8,2,0.0487,1,0,-0.35
29,1,9,1,0.3065,0,0,-0.0
30,1,10,0,0.1206,0,0,2.0
31,1,11,2,0.0545,1,0,-0.35
32,1,12,0,0.0341,0,0,2.0
33,1,13,0,0.028,1,0,1.95
34,1,14,2,0.263,2,0,-0.4
35,1,15,2,0.1039,1,0,-0.35
36,1,16,0,0.0492,0,0,2.0
37,1,17,0,0.0325,1,0,1.95
38,1,18,2,0.0276,2,0,-0.4
39,1,19,2,0.0261,1,0,-0.35
40,2,0,1,0.2,0,0,-0.0
41,2,1,0,0.0811,0,0,2.0
42,2,2,2,0.0421,1,0,-0.35
43,2,3,1,0.2931,0,0,-0.0
44,2,4,0,0.1154,0,0,2.0
45,2,5,1,0.4246,1,0,-0.05
46,2,6,2,0.1707,1,0,-0.35
47,2,7,1,0.5027,0,0,-0.0
48,2,8,1,0.2083,0,0,-0.0
49,2,9,0,0.084,0,0,2.0
50,2,10,2,0.043,1,0,-0.35
51,2,11,0,0.0307,0,0,2.0
52,2,12,2,0.027,1,0,-0.35
53,2,13,1,0.2608,0,0,-0.0
54,2,14,0,0.1031,0,0,2.0
55,2,15,2,0.049,1,1,-1.55
56,2,16,0,0.0324,0,1,-4.0
57,2,17,0,0.0276,1,1,-4.05
58,2,18,2,0.0261,2,1,-1.6
59,2,19,2,0.2588,1,1,-1.55
60,3,0,1,0.2,0,0,-0.0
61,3,1,0,0.0811,0,0,2.0
62,3,2,2,0.0421,1,0,-0.35
63,3,3,0,0.0304,0,0,2.0
64,3,4,0,0.027,1,0,1.95
65,3,5,2,0.026,2,0,-0.4
66,3,6,0,0.0257,1,0,1.95
67,3,7,2,0.0256,2,0,-0.4
68,3,8,0,0.0256,1,0,1.95
69,3,9,2,0.0256,2,0,-0.4
70,3,10,2,0.2575,1,0,-0.35
71,3,11,0,0.1018,0,0,2.0
72,3,12,2,0.0486,1,1,-1.55
73,3,13,0,0.0323,0,1,-4.0
74,3,14,1,0.2723,1,1,-0.05
75,3,15,1,0.614,1,1,-0.05
76,3,16,1,0.2691,1,1,-0.05
77,3,17,1,0.611,1,0,-0.05
78,3,18,1,0.8283,1,0,-0.05
79,3,19,2,0.4188,1,0,-0.35
80,4,0,1,0.2,0,0,-0.0
81,4,1,0,0.0811,0,0,2.0
82,4,2,2,0.0421,1,0,-0.35
83,4,3,0,0.0304,0,0,2.0
84,4,4,0,0.027,1,0,1.95
85,4,5,2,0.026,2,0,-0.4
86,4,6,0,0.0257,1,0,1.95
87,4,7,2,0.0256,2,0,-0.4
88,4,8,0,0.0256,1,0,1.95
89,4,9,2,0.2575,2,0,-0.4
90,4,10,2,0.1018,1,0,-0.35
91,4,11,0,0.0486,0,0,2.0
92,4,12,2,0.0323,1,0,-0.35
93,4,13,0,0.0275,0,0,2.0
94,4,14,2,0.0261,1,0,-0.35
95,4,15,0,0.0257,0,0,2.0
96,4,16,1,0.2578,1,0,-0.05
97,4,17,2,0.102,1,0,-0.35
98,4,18,0,0.0486,0,0,2.0
99,4,19,2,0.0323,1,0,-0.35
100,5,0,1,0.2,0,0,-0.0
101,5,1,1,0.5385,0,0,-0.0
102,5,2,1,0.2268,0,0,-0.0
103,5,3,0,0.0906,0,0,2.0
104,5,4,2,0.0451,1,0,-0.35
105,5,5,0,0.0313,0,0,2.0
106,5,6,0,0.0272,1,0,1.95
107,5,7,2,0.026,2,0,-0.4
108,5,8,2,0.2586,1,0,-0.35
109,5,9,1,0.6009,0,0,-0.0
110,5,10,1,0.2614,0,0,-0.0
111,5,11,0,0.1033,0,0,2.0
112,5,12,2,0.049,1,0,-0.35
113,5,13,0,0.0324,0,0,2.0
114,5,14,2,0.0276,1,0,-0.35
115,5,15,0,0.0261,0,0,2.0
116,5,16,2,0.0257,1,0,-0.35
117,5,17,0,0.0256,0,0,2.0
118,5,18,2,0.0256,1,0,-0.35
119,5,19,1,0.0256,0,0,-0.0
120,6,0,1,0.2,0,0,-0.0
121,6,1,1,0.5385,0,0,-0.0
122,6,2,1,0.2268,0,0,-0.0
123,6,3,0,0.0906,0,0,2.0
124,6,4,2,0.0451,1,0,-0.35
125,6,5,0,0.0313,0,0,2.0
126,6,6,0,0.0272,1,0,1.95
127,6,7,2,0.026,2,0,-0.4
128,6,8,0,0.0257,1,0,1.95
129,6,9,2,0.0256,2,0,-0.4
130,6,10,0,0.0256,1,0,1.95
131,6,11,2,0.0256,2,0,-0.4
132,6,12,2,0.0256,1,1,-1.55
133,6,13,1,0.2575,0,0,-0.0
134,6,14,0,0.1018,0,0,2.0
135,6,15,2,0.0486,1,0,-0.35
136,6,16,0,0.0323,0,0,2.0
137,6,17,0,0.0275,1,0,1.95
138,6,18,2,0.0261,2,0,-0.4
139,6,19,2,0.0257,1,0,-0.35
140,7,0,1,0.2,0,0,-0.0
141,7,1,1,0.5385,0,0,-0.0
142,7,2,1,0.795,0,0,-0.0
143,7,3,1,0.392,0,0,-0.0
144,7,4,0,0.1562,0,0,2.0
145,7,5,2,0.0661,1,0,-0.35
146,7,6,0,0.0376,0,0,2.0
147,7,7,0,0.0291,1,0,1.95
148,7,8,2,0.0266,2,1,-1.6
149,7,9,0,0.0259,1,1,-4.05
150,7,10,2,0.0256,2,1,-1.6
151,7,11,0,0.0256,1,0,1.95
152,7,12,2,0.0256,2,0,-0.4
153,7,13,0,0.0256,1,0,1.95
154,7,14,2,0.2575,2,0,-0.4
155,7,15,2,0.1018,1,0,-0.35
156,7,16,0,0.0486,0,0,2.0
157,7,17,0,0.0323,1,0,1.95
158,7,18,2,0.2723,2,0,-0.4
159,7,19,2,0.1074,1,0,-0.35
160,8,0,1,0.2,0,0,-0.0
161,8,1,0,0.0811,0,0,2.0
162,8,2,2,0.0421,1,0,-0.35
163,8,3,1,0.2931,0,1,-0.0
164,8,4,0,0.1154,0,0,2.0
165,8,5,2,0.0529,1,0,-0.35
166,8,6,1,0.3148,0,0,-0.0
167,8,7,0,0.1239,0,0,2.0
168,8,8,2,0.0556,1,0,-0.35
169,8,9,0,0.0344,0,0,2.0
170,8,10,0,0.0281,1,0,1.95
171,8,11,2,0.0263,2,0,-0.4
172,8,12,2,0.0258,1,0,-0.35
173,8,13,1,0.258,0,0,-0.0
174,8,14,0,0.102,0,0,2.0
175,8,15,2,0.0486,1,0,-0.35
176,8,16,0,0.0323,0,0,2.0
177,8,17,0,0.0275,1,0,1.95
178,8,18,2,0.2618,2,0,-0.4
179,8,19,2,0.6041,1,1,-1.55
180,9,0,1,0.2,0,1,-0.0
181,9,1,1,0.5385,0,1,-0.0
182,9,2,1,0.2268,0,1,-0.0
183,9,3,0,0.0906,0,1,-4.0
184,9,4,1,0.3842,1,1,-0.05
185,9,5,1,0.7045,1,1,-0.05
186,9,6,1,0.8649,1,1,-0.05
187,9,7,1,0.4501,1,0,-0.05
188,9,8,2,0.1826,1,0,-0.35
189,9,9,0,0.075,0,0,2.0
190,9,10,2,0.0403,1,0,-0.35
191,9,11,0,0.0299,0,0,2.0
192,9,12,2,0.0268,1,0,-0.35
193,9,13,0,0.0259,0,0,2.0
194,9,14,2,0.2583,1,0,-0.35
195,9,15,0,0.1021,0,0,2.0
196,9,16,2,0.0487,1,0,-0.35
197,9,17,1,0.3065,0,0,-0.0
198,9,18,0,0.1206,0,0,2.0
199,9,19,2,0.0545,1,0,-0.35
200,10,0,1,0.2,0,0,-0.0
201,10,1,0,0.0811,0,0,2.0
202,10,2,2,0.0421,1,0,-0.35
203,10,3,0,0.0304,0,0,2.0
204,10,4,0,0.027,1,0,1.95
205,10,5,2,0.026,2,0,-0.4
206,10,6,0,0.0257,1,0,1.95
207,10,7,2,0.0256,2,0,-0.4
208,10,8,0,0.0256,1,0,1.95
209,10,9,2,0.2575,2,0,-0.4
210,10,10,2,0.1018,1,0,-0.35
211,10,11,0,0.0486,0,0,2.0
212,10,12,2,0.0323,1,0,-0.35
213,10,13,0,0.0275,0,0,2.0
214,10,14,2,0.0261,1,0,-0.35
215,10,15,0,0.0257,0,0,2.0
216,10,16,2,0.0256,1,0,-0.35
217,10,17,0,0.0256,0,0,2.0
218,10,18,2,0.0256,1,0,-0.35
219,10,19,1,0.0256,0,0,-0.0
220,11,0,1,0.2,0,0,-0.0
221,11,1,0,0.0811,0,0,2.0
222,11,2,2,0.0421,1,0,-0.35
223,11,3,0,0.0304,0,0,2.0
224,11,4,0,0.027,1,0,1.95
225,11,5,2,0.2606,2,0,-0.4
226,11,6,2,0.103,1,0,-0.35
227,11,7,0,0.0489,0,0,2.0
228,11,8,2,0.307,1,0,-0.35
229,11,9,0,0.1208,0,0,2.0
230,11,10,1,0.433,1,0,-0.05
231,11,11,2,0.1746,1,0,-0.35
232,11,12,0,0.0723,0,0,2.0
233,11,13,0,0.0395,1,0,1.95
234,11,14,2,0.0296,2,0,-0.4
235,11,15,0,0.0267,1,0,1.95
236,11,16,2,0.0259,2,0,-0.4
237,11,17,0,0.0257,1,0,1.95
238,11,18,2,0.0256,2,0,-0.4
239,11,19,2,0.0256,1,0,-0.35
240,12,0,1,0.2,0,0,-0.0
241,12,1,0,0.0811,0,0,2.0
242,12,2,2,0.0421,1,0,-0.35
243,12,3,0,0.0304,0,0,2.0
244,12,4,2,0.2682,1,0,-0.35
245,12,5,0,0.1058,0,0,2.0
246,12,6,1,0.4095,1,0,-0.05
247,12,7,2,0.1639,1,0,-0.35
248,12,8,0,0.0687,0,0,2.0
249,12,9,0,0.0384,1,0,1.95
250,12,10,2,0.0293,2,0,-0.4
251,12,11,0,0.0266,1,0,1.95
252,12,12,2,0.0259,2,0,-0.4
